Similarity,,,,1,,0.5,0.5,1,0.5,,,0.5,1,1,1,1,1,,1,0.5,,1,1,1,1,1,1,1,1,1,,,1,,
GPW_number,,,,12,,13,13,39,36,37,,35,21,28,23,29,18,,43,45,,22,22,8,9a,14,15,25,45,46,,,11,,
GPW_name,,,,Reduce the global maternal mortality ratio by 30%,,Reduce the preventable deaths of newborns and children under 5 years of age by 30%,Reduce the preventable deaths of newborns and children under 5 years of age by 30%,"Reduce number of new HIV infections per 1000 uninfected population, by sex, age, and key populations by 73%",Reduce tuberculosis deaths (including TB deaths among people with HIV) by 50%,Reduce malaria deaths by 50%,,Eliminate at least one neglected tropical disease in 30 additional endemic countries (cumulative total number of countries),"20% relative reduction in the premature mortality (age 30–70 years) from NCDs (cardiovascular, cancer, diabetes, or chronic respiratory diseases) through prevention and treatment",Reduce suicide mortality rate by 15%,"7% relative reduction in the harmful use of alcohol as appropriate, within the national context",Reduce the number of global deaths and injuries from road traffic accidents by 20%,Increase the proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods to 66%,,Reduce the mortality rate attributed to household and ambient air pollution by 5%,Provide access to safely managed drinking water services for 1 billion more people,,25% relative reduction in prevalence of current tobacco use in persons 15+ years,25% relative reduction in prevalence of current tobacco use in persons 15+ years,Increase health workforce density with improved distribution,Increase in countries International Health Regulations capacities,Reduce the number of stunted children under five years of age by 30%,Reduce the prevalence of wasting among children under five years of age to less than 5%,Halt and begin to reverse the rise in childhood overweight (0–4 years) and obesity (5–19 years),Provide access to safely managed drinking water services for 1 billion more people,Provide access to safely managed sanitation services for 800 million more people,,,Reduce the number of deaths attributed to disasters per 100 000 population by 5%,,
GPW_benchmark,,,,30,,30,30,73,50,50,,Eliminate at least 1,20,15,7,20,66,,5," 1,000,000,000 ",,25,25,Increase,Increase,30,5,Halt," 1,000,000,000 "," 800,000,000 ",,,5,,
Member State,Total population a (000s),"Life expectancy at birth a,b (years)","Healthy life expectancy at birth a,b (years)",Maternal mortality ratio c (per 100 000 live births),Proportion of births attended by skilled health personnel d (%),Under-five mortality rate e (per 1000 live births),Neonatal mortality rate e (per 1000 live births),New HIV infections among adults 15-49 years old f (per 1000 uninfected population),TB incidence g (per 100 000 population),Malaria incidence h (per 1000 population at risk),Infants receiving three doses of hepatitis B vaccine i (%),Reported number of people requiring interventions against NTDs j,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 k (%)",Suicide mortality rate k (per 100 000 population),"Total alcohol per capita (> 15 years of age) consumption, in litres of pure alcohol, projected estimates l",Road traffic mortality rate m (per 100 000 population),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods n (%),Adolescent birth rate o (per 1000 women aged 15-19 years),Mortality rate attributed to household and ambient air pollution p  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH services q (per 100 000 population),Mortality rate from unintentional poisoning k (per 100 000 population),Age-standardized prevalence of tobacco smoking among persons 15 years and older r  (%) ,Age-standardized prevalence of tobacco smoking among persons 15 years and older r  (%) ,Skilled health professionals density s (per 10 000 population) ,Average of 13 International Health Regulations core capacity scores t,Prevalence of stunting in children under 5 u (%),Prevalence of wasting in children under 5 u (%),Prevalence of overweight in children under 5 u (%),Proportion of population using improved drinking-water sources v (%),Proportion of population using improved sanitation v (%),Proportion of population with primary reliance on clean fuels w (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas x  (µg/m3),Average death rate due to natural disasters y (per 100 000 population),Mortality rate due to homicide z (per 100 000 population),Estimated direct deaths from major conflicts aa (per 100 000 population)
,2015,2015,2015,2015,2006–2014,2015,2015,2014,2014,2013,2014,2014,2012,2012,2015,2013,2005–2015,2005–2015,2012,2012,2012,2015_male,2015_female,2005–2013,2010–2015,2005-2015,2005-2015,2005-2015,2015,2015,2014,2014,2011-2015,2012,2011-2015
Afghanistan,32527,60.5,52.2,396,45,91.1,35.5,<0.1,189,15.7,75,13406517,30.5,4.0,1.0,15.5,–,51.9,112.6,34.6,7.4,–,–,7.7,45,40.9,9.5,5.4,55,32,17,64.1,0.8,7.3,40.9
Albania,2897,77.8,68.8,29,99,14.0,6.2,–,19,–,98,42,18.8,6.5,6.6,15.1,12.9,19.7,171.4,0.2,1.4,51.2,7.6,49.9,–,23.1,9.4,23.4,95,93,67,17.1,0.0,5.0,<0.1
Algeria,39667,75.6,66.0,140,97,25.5,15.5,<0.1,78,<0.1,95,–,22.1,1.8,0.6,23.8,77.2,12.4,31.5,2.4,1.1,–,–,31.5,73,11.7,4.1,12.4,84,88,>95,26.0,<0.1,4.4,1.0
Andorra,70,–,–,–,–,2.8,1.4,–,9.2,–,96,0,–,–,9.1,7.6,–,4.4,–,–,–,37.2,27.8,87.6,29,–,–,–,100,100,>95,10.5,–,0.8,–
Angola,25022,52.4,45.8,477,47,156.9,48.7,2.1,370,145.7,80,17668111,24.2,10.6,7.6,26.9,–,190.9,104.4,111.2,5.5,–,–,18.3,18,29.2,8.2,–,49,52,48,42.8,0.1,10.7,0.0
Antigua and Barbuda,92,76.4,67.5,–,100,8.1,4.9,–,7.6,–,99,1395,–,–,3.2,6.7,–,–,–,–,–,–,–,–,88,–,–,–,98,–,>95,15.0,0.0,4.4,–
Argentina,43417,76.3,67.6,52,100,12.5,6.3,0.3,24,0.0,94,3948,17.5,10.8,7.6,13.6,–,68.1,26.2,0.7,0.9,29.5,18.4,43.4,83,8.2,1.2,9.9,99,96,>95,14.5,<0.1,6.0,0.0
Armenia,3018,74.8,66.8,25,100,14.1,7.4,0.2,45,0.0,93,38929,29.7,3.3,5.5,18.3,39.2,22.7,125.4,1.1,0.4,52.3,1.5,75.3,96,20.8,4.2,16.8,100,90,>95,25.1,0.0,2.1,0.0
Australia,23969,82.8,71.9,6,99,3.8,2.2,–,6.4,–,91,18843,9.4,11.6,12.6,5.4,–,14.2,0.4,<0.1,1.3,16.7,13.1,139.2,100,2.0,0.0,7.7,100,100,>95,5.8,<0.1,1.1,<0.1
Austria,8545,81.5,72.0,4,99,3.5,2.1,–,7.8,–,83,14,12.0,15.6,8.5,5.4,–,7.9,34.2,0.1,0.4,–,–,–,87,–,–,–,100,100,>95,17.2,<0.1,0.9,<0.1
Azerbaijan,9754,72.7,64.7,25,97,31.7,18.2,0.2,77,0.0,94,1678393,23.3,1.7,2.1,10.0,21.5,47.2,68.0,2.1,0.9,46.5,0.4,99.4,84,18.0,3.1,13.0,87,89,>95,26.4,0.0,2.4,0.3
