Similarity,,,,1,,0.5,0.5,1,0.5,,,0.5,1,1,1,1,1,,1,0.5,,1,1,,,1,1,,1,1,1,1,1,,,1,,,
GPW_number,,,,12,,13,13,39,36,37,,35,21,28,23,29,18,,43,45,,22,22,,,8,9a,,14,15,25,45,46,,,11,,,
GPW_name,,,,Reduce the global maternal mortality ratio by 30%,,Reduce the preventable deaths of newborns and children under 5 years of age by 30%,Reduce the preventable deaths of newborns and children under 5 years of age by 30%,"Reduce number of new HIV infections per 1000 uninfected population, by sex, age, and key populations by 73%",Reduce tuberculosis deaths (including TB deaths among people with HIV) by 50%,Reduce malaria deaths by 50%,,Eliminate at least one neglected tropical disease in 30 additional endemic countries (cumulative total number of countries),"20% relative reduction in the premature mortality (age 30–70 years) from NCDs (cardiovascular, cancer, diabetes, or chronic respiratory diseases) through prevention and treatment",Reduce suicide mortality rate by 15%,"7% relative reduction in the harmful use of alcohol as appropriate, within the national context",Reduce the number of global deaths and injuries from road traffic accidents by 20%,Increase the proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods to 66%,,Reduce the mortality rate attributed to household and ambient air pollution by 5%,Provide access to safely managed drinking water services for 1 billion more people,,25% relative reduction in prevalence of current tobacco use in persons 15+ years,25% relative reduction in prevalence of current tobacco use in persons 15+ years,,,Increase health workforce density with improved distribution,Increase in countries International Health Regulations capacities,,Reduce the number of stunted children under five years of age by 30%,Reduce the prevalence of wasting among children under five years of age to less than 5%,Halt and begin to reverse the rise in childhood overweight (0–4 years) and obesity (5–19 years),Provide access to safely managed drinking water services for 1 billion more people,Provide access to safely managed sanitation services for 800 million more people,,,Reduce the number of deaths attributed to disasters per 100 000 population by 5%,,,
GPW_benchmark,,,,30,,30,30,73,50,50,,Eliminate at least 1,20,15,7,20,66,,5," 1,000,000,000 ",,25,25,,,Increase,Increase,,30,5,Halt," 1,000,000,000 "," 800,000,000 ",,,5,,,
Member State,Total population a (000s),Life expectancy at birth b (years),Healthy life expectancy at birth b (years),Maternal mortality ratio c (per 100 000 live births),Proportion of births attended by skilled health personnel d (%),Under-five mortality rate e (per 1000 live births),Neonatal mortality rate e (per 1000 live births),New HIV infections among adults 15-49 years old f (per 1000 uninfected population),TB incidence g (per 100 000 population),Malaria incidence h (per 1000 population at risk),Infants receiving three doses of hepatitis B vaccine i (%),Reported number of people requiring interventions against NTDs j,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 k (%)",Suicide mortality rate k (per 100 000 population),"Total alcohol per capita (>= 15 years of age) consumption (litres of pure alcohol), projected estimates l",Road traffic mortality rate m (per 100 000 population),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods n (%),Adolescent birth rate o (per 1000 women aged 15-19 years),Mortality rate attributed to household and ambient air pollution p  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH services q (per 100 000 population),Mortality rate attributed to unintentional poisoning k (per 100 000 population),Age-standardized prevalence of tobacco smoking among persons 15 years and older r  (%) ,Age-standardized prevalence of tobacco smoking among persons 15 years and older r  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds i (%),"Total net official development assistance to medical research and basic health per capita (constant 2014 US$), by recipient country

",Skilled health professionals density t (per 10 000 population) ,Average of 13 International Health Regulations core capacity scores u,General Government Health Expenditure as % of General government expenditure v ,Prevalence of stunting in children under 5 w (%),Prevalence of wasting in children under 5 w (%),Prevalence of overweight in children under 5 w (%),Proportion of population using improved drinking-water sources x (%),Proportion of population using improved sanitation x (%),Proportion of population with primary reliance on clean fuels y (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas z  (µg/m3),Average death rate due to natural disasters k (per 100 000 population),Mortality rate due to homicide k (per 100 000 population),"Estimated direct deaths from major conflicts k,aa (per 100 000 population)",Completeness of cause-of-death data ab (%)
,2015,2015,2015,2015,2005–2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2013,2005–2015,2005–2014,2012,2012,2015,2015_male,2015_female,2015,2014,2005–2015,2010–2016,2014,2005-2016,2005-2016,2005-2016,2015,2015,2014,2014,2011-2015,2015,2011-2015,2005-2015
Afghanistan,32527,60.5,52.2,396,51,91.1,35.5,0.06,189,23.6,78,13765392,31.0,5.5,0.5,15.5,–,51.9,114.8,34.6,1.6,–,–,78,8.26,6.6,42,12.0,40.9,9.5,5.4,55,32,17,63.4,0.8,7.0,40.9,–
Albania,2897,77.8,68.8,29,99,14.0,6.2,–,19,–,98,0,14.7,4.3,5.7,15.1,12.9,19.7,166.1,0.2,0.3,51.2,7.6,98,0.76,–,–,9.4,23.1,9.4,23.4,95,93,67,17.1,0.0,4.1,<0.1,76
Algeria,39667,75.6,66.0,140,97,25.5,15.5,0.02,75,<0.1,95,7561,15.0,3.1,1.0,23.8,77.2,12.4,30.6,2.4,1.1,–,–,95,<0.01,31.2,73,9.9,11.7,4.1,12.4,84,88,>95,25.1,<0.1,4.2,1.0,–
Andorra,70,–,–,–,–,2.8,1.4,–,6.5,–,94,0,–,–,10.5,7.6,–,4.4,–,–,–,37.2,27.8,97,–,81.3,29,27.9,–,–,–,100,100,>95,10.5,–,–,–,100
Angola,25022,52.4,45.8,477,47,156.9,48.7,1.86,370,124.0,64,18534219,24.8,20.5,10.8,26.9,–,190.9,105.8,111.2,5.7,–,–,64,1.94,15.9,18,5.0,37.6,4.9,3.3,49,52,48,42.4,0.1,9.6,0.0,–
Antigua and Barbuda,92,76.4,67.5,–,100,8.1,4.9,–,7.5,–,99,158,15.6,0.0,5.4,6.7,–,–,–,–,0.6,–,–,99,–,–,81,18.1,–,–,–,98,–,>95,13.0,0.0,4.8,0.0,93
Argentina,43417,76.3,67.6,52,100,12.5,6.3,0.23,25,0.0,94,634,17.1,14.2,9.1,13.6,–,68.1,24.6,0.7,0.8,29.5,18.4,94,0.02,–,76,6.9,8.2,1.2,9.9,99,96,>95,14.4,0.1,4.7,0.0,99
Armenia,3018,74.8,66.8,25,100,14.1,7.4,0.26,41,–,94,39044,23.2,5.4,5.4,18.3,39.2,22.7,93.2,1.1,0.7,52.3,1.5,94,2.03,78.0,96,7.0,9.4,4.2,13.6,100,90,>95,25.0,0.0,1.7,0.0,100
Australia,23969,82.8,71.9,6,99,3.8,2.2,0.10,6.0,–,93,17476,8.9,11.8,11.2,5.4,–,14.2,0.4,<0.1,0.5,16.7,13.1,93,–,157.2,100,17.3,2.0,0.0,7.7,100,100,>95,5.8,0.1,0.9,<0.1,100
