Similarity,,,,0,0,1,,0.5,0.5,1,0.5,,,0.5,1,1,1,1,1,,1,1,1,1,0.5,,1,1,,1,,,0.5,0.5,0.5,0.5,1,,1,1,1,1,1,,,1,,,
GPW_number,,,,3,3,12,,13,13,39,36,37,,35,21,28,23,29,18,,1,2,2,43,45,,22,22,,40,,,8,8,8,8,9a,,14,15,25,45,46,,,11,,,
GPW_name,,,,Increase percent of publicly financed health expenditures by 10%,Increase percent of publicly financed health expenditures by 10%,Reduce the global maternal mortality ratio by 30%,,Reduce the preventable deaths of newborns and children under 5 years of age by 30%,Reduce the preventable deaths of newborns and children under 5 years of age by 30%,"Reduce number of new HIV infections per 1000 uninfected population, by sex, age, and key populations by 73%",Reduce tuberculosis deaths (including TB deaths among people with HIV) by 50%,Reduce malaria deaths by 50%,,Eliminate at least one neglected tropical disease in 30 additional endemic countries (cumulative total number of countries),"20% relative reduction in the premature mortality (age 30–70 years) from NCDs (cardiovascular, cancer, diabetes, or chronic respiratory diseases) through prevention and treatment",Reduce suicide mortality rate by 15%,"7% relative reduction in the harmful use of alcohol as appropriate, within the national context",Reduce the number of global deaths and injuries from road traffic accidents by 20%,Increase the proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods to 66%,,"Increase access to quality essential health services (including promotion, prevention, curative, rehabilitative and palliative care) with a focus on primary health care, measured using a UHC index",Stop the rise in percent of people suffering financial hardship (defined as out-of-pocket spending exceeding ability to pay) in accessing health services,Stop the rise in percent of people suffering financial hardship (defined as out-of-pocket spending exceeding ability to pay) in accessing health services,Reduce the mortality rate attributed to household and ambient air pollution by 5%,Provide access to safely managed drinking water services for 1 billion more people,,25% relative reduction in prevalence of current tobacco use in persons 15+ years,25% relative reduction in prevalence of current tobacco use in persons 15+ years,,Increase coverage of 2nd dose of measles-containing vaccine (MCV) to 85%,,,Increase health workforce density with improved distribution,Increase health workforce density with improved distribution,Increase health workforce density with improved distribution,Increase health workforce density with improved distribution,Increase in countries International Health Regulations capacities,,Reduce the number of stunted children under five years of age by 30%,Reduce the prevalence of wasting among children under five years of age to less than 5%,Halt and begin to reverse the rise in childhood overweight (0–4 years) and obesity (5–19 years),Provide access to safely managed drinking water services for 1 billion more people,Provide access to safely managed sanitation services for 800 million more people,,,Reduce the number of deaths attributed to disasters per 100 000 population by 5%,,,
GPW_benchmark,,,,10,10,30,,30,30,73,50,50,,Eliminate at least 1,20,15,7,20,66,,Increase,Stop the rise,Stop the rise,5," 1,000,000,000 ",,25,25,,85,,,,,,,Increase,,30,5,Halt," 1,000,000,000 "," 800,000,000 ",,,5,,,
Member State,Total population a (000s),"Life expectancy at birth b,c (years)","Healthy life expectancy at birth b,c (years)",Current health expenditure (CHE) per capita d (US$),Current health expenditure (CHE) as percentage of gross domestic product (GDP) d (%),Maternal mortality ratio e (per 100 000 live births),Proportion of births attended by skilled health personnel f (%),Under-five mortality rate g (per 1000 live births),Neonatal mortality rate g (per 1000 live births),New HIV infections h (per 1000 uninfected population),Tuberculosis incidence i (per 100 000 population),Malaria incidence j (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%) k (%),Reported number of people requiring interventions against NTDs l,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70 c,m (%)","Suicide mortality rate c,m (per 100 000 population)",Total alcohol per capita (>= 15 years of age) consumption n (litres of pure alcohol),Road traffic mortality rate o (per 100 000 population),Proportion of married or in-union women of reproductive age who have their need for family planning satisfied with modern methods p (%),Adolescent birth rate q (per 1000 women aged 15-19 years),UHC service coverage index r,Population with household expenditures on health > 10% of total household expenditure or income s (%),Population with household expenditures on health > 25% of total household expenditure or income s (%),"Age-standardized mortality rate attributed to household and ambient air pollution c,t  (per 100 000 population) ","Mortality rate attributed to exposure to unsafe WASH services c,t (per 100 000 population)","Mortality rate from unintentional poisoning c,m (per 100 000 population)",Age-standardized prevalence of tobacco smoking among persons 15 years and older u  (%) ,Age-standardized prevalence of tobacco smoking among persons 15 years and older u  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds v(%),Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age v (%) ,Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds v (%),"Total net official development assistance to medical research and basic health per capita w (US$), by recipient country

",Density of physicians x             (per 1000 population) ,Density of nursing and midwifery personnel x                 (per 1000 population) ,Density of dentistry personnel x                     (per 1000 population) ,Density of pharmaceutical personnel x (per 1000 population) ,Average of 13 International Health Regulations core capacity scores y,"Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) d,z (%)",Prevalence of stunting in children under 5 aa (%),Prevalence of wasting in children under 5 aa (%),Prevalence of overweight in children under 5 aa (%),Proportion of population using safely managed drinking-water services ab (%),Proportion of population using safely  managed sanitation services ab (%),Proportion of population with primary reliance on clean fuels t (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas t  (µg/m3),"Average death rate due to natural disasters c,m,ac (per 100 000 population)","Mortality rate due to homicide c,m (per 100 000 population)","Estimated direct deaths from major conflicts c,m,ac,ad (per 100 000 population)","Completeness of cause-of-death data c,m,ae (%)"
,2016,2016,2016,2015,2015,2015,2007–2017,2016,2016,2016,2016,2016,2015,2016,2016,2016,2016,2013,2007–2017,2007–2016,2015,2007-2015,2007-2015,2016,2016,2016,2016_male,2016_female,2016,2016,2016,2016,2007–2016,2007–2016,2007–2016,2007–2016,2010–2017,2015,2007-2016,2007-2016,2007-2016,2015,2015,2016,2016,2012-2016,2016,2012-2016,2007-2016
Afghanistan,34656,62.7,53.0,60,10.3,396,50,70.4,40.0,0.03,189,30.8,0.50,13275429,29.8,4.7,0.2,15.5,42.1,87.0,34,4.8,0.1,211.1,13.9,1.2,-,-,65,39,65,5.82,0.3,0.4,0.0,0.0,42,2.0,40.9,9.5,5.4,-,-,32,59.9,0.7,7.4,37.3,-
Albania,2926,76.4,68.1,266,6.8,29,99,13.5,6.2,0.08,16,-,1.29,21,17.0,6.3,7.5,15.1,12.9,18.9,62,16.7,5.0,68.0,0.2,0.4,51.2,7.1,98,98,98,0.63,1.3,-,-,0.8,46,9.5,23.1,9.4,23.4,69,65,77,18.2,0.0,4.2,<0.1,55
Algeria,40606,76.4,65.5,292,7.1,140,97,25.2,15.6,0.02,70,0.0,0.22,0,14.2,3.2,0.9,23.8,77.2,9.0,76,-,-,49.7,1.9,0.8,30.4,0.7,91,96,61,0.02,1.2,1.9,0.3,0.2,75,10.7,11.7,4.1,12.4,-,19,93,34.5,<0.1,4.2,0.7,-
Andorra,77,-,-,4316,12.0,-,-,2.7,1.1,-,6,-,0.08,0,-,-,11.3,7.6,-,-,-,-,-,-,-,-,37.8,29.0,98,90,92,-,3.7,4.4,0.9,1.2,29,18.5,-,-,-,-,100,>95,11.5,-,-,-,100
