"","","","Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%","Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%","Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%","Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%","Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%","Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)","Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)","Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)","Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)","Antenatal care coverage - at least one visit (in the five years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)","Antenatal care coverage - at least four visits (in the five years preceding the survey) (%)"
"Country","Year","Data Source"," Q1 (Poorest)"," Q2"," Q3"," Q4"," Q5 (Richest)"," Q1 (Poorest)"," Q2"," Q3"," Q4"," Q5 (Richest)"," Q1 (Poorest)"," Q2"," Q3"," Q4"," Q5 (Richest)"," Q1 (Poorest)"," Q2"," Q3"," Q4"," Q5 (Richest)"
"Afghanistan"," 2015"," DHS","50.8 [47.1-54.5]","51.0 [46.5-55.4]","54.3 [46.5-61.9]","64.1 [60.2-67.8]","76.3 [71.7-80.3]","50.4 [46.9-53.9]","50.0 [46.2-53.7]","53.7 [46.8-60.4]","63.7 [59.8-67.5]","76.1 [71.6-80.1]","10.6 [8.9-12.6]","11.0 [9.2-13.1]","13.9 [11.4-16.7]","19.3 [16.1-23.0]","35.5 [31.0-40.2]","10.5 [8.8-12.4]","11.4 [9.3-14.0]","14.4 [11.9-17.3]","19.7 [17.0-22.6]","34.1 [30.1-38.4]"
"Afghanistan"," 2010"," MICS","26.2 [21.8-31.1]","37.7 [32.6-43.0]","42.6 [38.2-47.1]","55.4 [49.2-61.5]","78.3 [74.7-81.6]","No data","No data","No data","No data","No data","6.0 [4.0-9.1]","8.0 [6.0-10.5]","10.5 [8.3-13.2]","17.2 [14.0-20.8]","32.3 [28.6-36.2]","No data","No data","No data","No data","No data"
"Albania"," 2008"," DHS","96.4 [92.2-98.4]","96.9 [91.8-98.8]","98.8 [96.6-99.5]","99.9 [99.0-100.0]","98.8 [94.0-99.8]","93.3 [89.3-95.9]","95.7 [91.6-97.8]","99.0 [97.7-99.6]","99.9 [99.4-100.0]","99.3 [96.4-99.9]","48.5 [39.0-58.1]","60.5 [49.8-70.2]","70.0 [62.5-76.6]","80.3 [72.2-86.4]","93.1 [87.7-96.2]","48.8 [40.4-57.3]","53.0 [44.0-61.8]","67.4 [60.3-73.8]","80.6 [74.7-85.5]","90.9 [85.8-94.3]"
"Albania"," 2005"," MICS","95.9 [76.2-99.4]","92.1 [71.9-98.2]","100.0 [100.0-100.0]","98.0 [91.9-99.5]","100.0 [100.0-100.0]","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Albania"," 2002"," RHS","88.3 [81.3-92.9]","91.3 [85.5-95.0]","89.9 [82.8-94.3]","83.9 [77.9-88.5]","72.5 [63.4-80.1]","88.5 [81.5-93.1]","89.2 [84.2-92.7]","88.3 [82.9-92.1]","82.3 [76.8-86.7]","69.9 [62.4-76.4]","69.6 [60.8-77.2]","52.0 [42.8-61.0]","61.7 [52.9-69.9]","34.0 [27.4-41.2]","24.1 [17.9-31.8]","67.0 [59.3-73.8]","52.3 [45.5-59.1]","59.7 [53.0-66.0]","35.1 [29.5-41.1]","23.6 [18.8-29.2]"
"Algeria"," 2012"," MICS","87.6 [85.0-89.8]","93.3 [91.3-94.8]","92.8 [90.8-94.3]","95.0 [93.4-96.2]","96.1 [94.5-97.2]","No data","No data","No data","No data","No data","53.9 [49.6-58.2]","65.7 [62.2-69.1]","64.6 [61.1-68.0]","74.4 [71.0-77.5]","82.3 [78.8-85.2]","No data","No data","No data","No data","No data"
"Angola"," 2015"," DHS","56.6 [51.9-61.1]","72.1 [68.8-75.2]","89.4 [86.9-91.5]","96.1 [94.2-97.4]","97.9 [96.4-98.8]","55.6 [51.1-60.1]","71.4 [68.3-74.3]","89.7 [87.3-91.6]","96.3 [94.8-97.4]","97.7 [96.4-98.6]","34.6 [30.9-38.4]","44.6 [41.4-47.9]","63.7 [60.5-66.8]","81.7 [77.5-85.2]","88.1 [84.4-91.0]","34.0 [30.4-37.8]","44.8 [41.8-47.9]","64.0 [61.0-66.9]","81.5 [77.8-84.7]","88.2 [85.2-90.6]"
"Argentina"," 2011"," MICS","97.0 [95.4-98.1]","98.5 [97.3-99.2]","97.6 [95.2-98.8]","98.0 [94.3-99.3]","99.9 [99.7-99.9]","No data","No data","No data","No data","No data","86.2 [81.5-89.9]","89.2 [84.4-92.6]","90.8 [86.3-93.9]","89.4 [83.5-93.4]","95.3 [91.9-97.3]","No data","No data","No data","No data","No data"
"Armenia"," 2010"," DHS","99.8 [98.6-100.0]","99.4 [95.9-99.9]","100.0 [100.0-100.0]","97.8 [91.9-99.4]","99.5 [96.6-99.9]","99.6 [98.3-99.9]","98.8 [95.1-99.7]","99.7 [97.7-100.0]","97.7 [93.3-99.2]","99.7 [97.6-100.0]","90.4 [84.9-94.1]","90.6 [84.8-94.4]","95.1 [89.7-97.7]","94.2 [88.5-97.1]","98.8 [96.1-99.6]","87.8 [82.2-91.8]","89.9 [85.1-93.3]","95.5 [91.3-97.7]","94.4 [89.8-97.0]","96.2 [91.1-98.5]"
"Armenia"," 2005"," DHS","85.9 [75.5-92.3]","88.8 [81.9-93.2]","95.7 [89.7-98.3]","98.0 [94.1-99.4]","98.8 [95.7-99.7]","84.5 [76.9-90.0]","87.5 [80.1-92.4]","95.2 [90.5-97.7]","97.1 [93.4-98.7]","99.2 [97.1-99.8]","46.4 [36.4-56.7]","59.8 [50.2-68.6]","81.4 [72.1-88.1]","79.2 [68.4-87.1]","89.9 [81.6-94.6]","47.2 [37.5-57.1]","59.6 [50.1-68.4]","78.0 [69.5-84.7]","78.8 [69.8-85.7]","86.9 [79.6-91.8]"
"Armenia"," 2000"," DHS","83.4 [76.4-88.7]","89.3 [81.8-94.0]","96.6 [91.8-98.6]","95.7 [90.0-98.2]","96.6 [91.2-98.7]","84.6 [78.7-89.0]","90.3 [84.4-94.2]","95.4 [91.6-97.5]","96.6 [92.9-98.4]","96.8 [93.0-98.6]","34.3 [27.5-41.9]","50.7 [41.9-59.6]","72.9 [64.2-80.2]","79.4 [71.3-85.6]","83.9 [76.1-89.5]","37.5 [30.6-45.0]","51.6 [43.4-59.8]","76.0 [69.8-81.4]","78.4 [72.0-83.7]","86.0 [80.2-90.2]"
"Azerbaijan"," 2006"," DHS","55.6 [48.1-62.9]","70.2 [63.0-76.5]","85.9 [78.9-90.9]","92.9 [86.9-96.3]","97.5 [92.2-99.2]","53.2 [47.7-58.6]","68.9 [62.9-74.3]","81.5 [75.5-86.3]","91.3 [86.8-94.3]","95.3 [89.2-98.0]","25.1 [19.9-31.0]","34.7 [27.7-42.3]","49.5 [40.4-58.5]","66.9 [57.8-75.0]","80.6 [72.0-87.1]","19.7 [15.7-24.6]","32.7 [26.7-39.3]","46.1 [38.2-54.2]","63.7 [55.7-70.9]","74.0 [65.6-80.9]"
"Bangladesh"," 2014"," DHS","35.6 [30.5-41.1]","55.9 [51.2-60.6]","64.6 [58.1-70.6]","75.2 [71.5-78.6]","90.0 [87.5-92.0]","No data","No data","No data","No data","No data","15.4 [11.8-20.0]","20.0 [16.9-23.5]","27.3 [22.9-32.0]","38.7 [33.5-44.2]","55.1 [50.1-60.1]","No data","No data","No data","No data","No data"
"Bangladesh"," 2012"," MICS","34.4 [31.8-37.1]","43.1 [40.2-46.1]","59.4 [56.2-62.4]","71.9 [68.5-75.1]","90.0 [87.6-92.0]","No data","No data","No data","No data","No data","12.8 [11.1-14.7]","13.9 [12.1-15.9]","18.4 [16.2-20.9]","25.3 [22.4-28.5]","55.2 [50.7-59.5]","No data","No data","No data","No data","No data"
"Bangladesh"," 2011"," DHS","30.4 [27.1-33.8]","39.6 [35.4-43.9]","54.2 [50.5-58.0]","68.1 [64.3-71.7]","87.4 [84.5-89.8]","27.6 [24.9-30.4]","35.6 [32.2-39.1]","50.1 [46.7-53.4]","65.0 [61.9-68.0]","85.6 [82.9-87.9]","10.6 [8.4-13.3]","14.9 [12.2-18.1]","21.0 [18.1-24.4]","32.7 [29.0-36.7]","53.2 [49.0-57.3]","9.0 [7.3-11.1]","13.2 [11.2-15.5]","19.4 [16.9-22.3]","28.3 [25.3-31.6]","52.9 [49.4-56.3]"
"Bangladesh"," 2007"," DHS","31.7 [27.1-36.7]","38.9 [34.2-43.7]","49.1 [43.2-55.0]","66.6 [62.3-70.6]","85.3 [81.7-88.3]","30.7 [26.0-35.7]","36.3 [32.6-40.1]","48.0 [42.9-53.1]","65.5 [61.2-69.6]","83.6 [80.6-86.1]","9.4 [6.6-13.2]","11.3 [8.6-14.7]","15.7 [12.3-19.8]","27.8 [23.0-33.2]","49.2 [44.7-53.7]","8.3 [5.9-11.4]","9.8 [7.7-12.2]","14.9 [12.2-18.1]","26.6 [22.1-31.7]","47.3 [43.2-51.4]"
"Bangladesh"," 2006"," MICS","27.1 [25.2-29.2]","35.1 [32.9-37.4]","44.9 [42.4-47.5]","60.8 [58.3-63.2]","82.1 [79.6-84.3]","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bangladesh"," 2004"," DHS","26.6 [22.8-30.8]","39.6 [34.6-44.7]","50.5 [46.1-55.0]","64.7 [59.9-69.2]","83.7 [80.4-86.5]","24.9 [21.5-28.7]","38.6 [34.1-43.3]","48.8 [44.6-53.0]","60.6 [56.7-64.5]","81.1 [78.1-83.8]","4.2 [2.8-6.2]","7.0 [4.8-10.1]","13.0 [10.4-16.1]","19.4 [16.3-23.0]","48.0 [43.9-52.1]","3.9 [2.8-5.5]","7.1 [5.3-9.6]","12.0 [9.7-14.8]","18.2 [15.3-21.5]","44.8 [41.2-48.5]"
"Bangladesh"," 1999"," DHS","21.1 [17.7-25.0]","23.2 [19.8-27.1]","29.3 [25.7-33.2]","43.2 [38.8-47.7]","70.7 [65.8-75.2]","19.4 [16.5-22.7]","21.4 [18.4-24.8]","27.7 [24.6-31.0]","39.4 [35.4-43.6]","69.9 [65.8-73.6]","2.2 [1.2-4.3]","3.9 [2.5-6.2]","5.7 [4.2-7.9]","10.5 [8.1-13.7]","40.4 [35.4-45.7]","2.0 [1.1-3.8]","3.4 [2.3-5.1]","5.4 [4.1-7.1]","9.9 [8.0-12.4]","39.2 [34.8-43.8]"
"Bangladesh"," 1996"," DHS","15.4 [12.6-18.7]","16.5 [13.8-19.6]","24.9 [21.5-28.6]","36.4 [32.0-41.1]","65.5 [60.8-69.9]","15.8 [13.4-18.6]","17.3 [14.9-19.9]","23.7 [20.8-26.9]","34.2 [30.6-38.0]","62.4 [58.5-66.1]","1.6 [0.9-3.0]","1.5 [0.7-3.0]","2.4 [1.4-4.1]","6.9 [4.8-9.8]","26.8 [22.6-31.4]","1.6 [0.9-2.6]","2.0 [1.2-3.2]","2.5 [1.6-3.9]","5.7 [4.2-7.8]","26.8 [23.5-30.5]"
"Bangladesh"," 1993"," DHS","13.0 [10.7-15.7]","17.2 [14.2-20.6]","22.5 [19.1-26.2]","29.4 [25.4-33.7]","59.3 [54.7-63.7]","No data","No data","No data","No data","No data","0.4 [0.1-1.0]","0.7 [0.3-1.6]","2.2 [1.4-3.5]","3.9 [2.6-5.8]","25.5 [21.4-30.1]","No data","No data","No data","No data","No data"
