"","","","Births attended by skilled health personnel (in the two or three years preceding the survey) (%)","Births attended by skilled health personnel (in the two or three years preceding the survey) (%)","Births attended by skilled health personnel (in the two or three years preceding the survey) (%)","Births attended by skilled health personnel (in the two or three years preceding the survey) (%)","Births attended by skilled health personnel (in the two or three years preceding the survey) (%)","Births attended by skilled health personnel (in the five years preceding the survey) (%)","Births attended by skilled health personnel (in the five years preceding the survey) (%)","Births attended by skilled health personnel (in the five years preceding the survey) (%)","Births attended by skilled health personnel (in the five years preceding the survey) (%)","Births attended by skilled health personnel (in the five years preceding the survey) (%)"
"Country","Year","Data Source"," Q1 (Poorest)"," Q2"," Q3"," Q4"," Q5 (Richest)"," Q1 (Poorest)"," Q2"," Q3"," Q4"," Q5 (Richest)"
"Afghanistan"," 2015"," DHS","26.9 [23.6-30.4]","39.7 [36.6-43.0]","47.1 [39.8-54.6]","68.6 [64.1-72.7]","88.0 [85.1-90.5]","24.0 [21.2-27.1]","36.9 [34.0-39.8]","43.6 [36.8-50.7]","64.9 [61.1-68.7]","85.2 [82.3-87.7]"
"Afghanistan"," 2010"," MICS","15.6 [12.3-19.5]","24.6 [20.9-28.6]","31.4 [27.1-36.1]","46.9 [40.9-53.0]","75.9 [72.1-79.3]","No data","No data","No data","No data","No data"
"Albania"," 2008"," DHS","99.6 [98.0-99.9]","99.3 [95.3-99.9]","98.9 [93.6-99.8]","100.0 [100.0-100.0]","100.0 [100.0-100.0]","98.4 [95.7-99.4]","99.2 [97.0-99.8]","99.4 [96.4-99.9]","100.0 [100.0-100.0]","100.0 [100.0-100.0]"
"Albania"," 2005"," MICS","99.0 [93.5-99.9]","100.0 [100.0-100.0]","100.0 [100.0-100.0]","100.0 [100.0-100.0]","100.0 [100.0-100.0]","No data","No data","No data","No data","No data"
"Albania"," 2002"," RHS","80.6 [75.7-84.8]","78.9 [72.0-84.5]","84.3 [78.2-88.9]","87.4 [82.3-91.1]","80.1 [72.4-86.1]","77.7 [73.3-81.5]","82.5 [77.6-86.5]","85.7 [81.3-89.2]","86.7 [82.6-89.9]","76.9 [70.1-82.5]"
"Algeria"," 2012"," MICS","94.6 [92.8-96.0]","96.6 [95.1-97.6]","96.4 [94.6-97.7]","97.3 [95.9-98.3]","98.7 [97.8-99.2]","No data","No data","No data","No data","No data"
"Angola"," 2015"," DHS","18.9 [16.1-22.0]","29.5 [26.2-32.9]","58.6 [54.8-62.3]","76.8 [71.9-81.0]","89.3 [85.9-91.9]","17.2 [14.9-19.8]","28.8 [25.8-32.0]","58.4 [55.1-61.6]","75.0 [71.0-78.6]","89.6 [86.6-92.0]"
"Argentina"," 2011"," MICS","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Armenia"," 2010"," DHS","100.0 [100.0-100.0]","99.9 [99.3-100.0]","100.0 [100.0-100.0]","99.2 [94.4-99.9]","100.0 [100.0-100.0]","99.1 [96.8-99.8]","98.8 [92.5-99.8]","100.0 [100.0-100.0]","99.4 [96.2-99.9]","100.0 [100.0-100.0]"
"Armenia"," 2005"," DHS","97.6 [93.3-99.2]","98.2 [91.4-99.7]","100.0 [100.0-100.0]","99.0 [93.3-99.9]","100.0 [100.0-100.0]","95.6 [91.5-97.8]","98.8 [94.0-99.8]","100.0 [100.0-100.0]","97.6 [90.9-99.4]","100.0 [100.0-100.0]"
"Armenia"," 2000"," DHS","94.5 [90.0-97.0]","91.7 [83.5-96.0]","99.6 [97.4-99.9]","98.4 [94.2-99.6]","100.0 [100.0-100.0]","93.3 [88.7-96.2]","94.2 [89.4-96.9]","99.4 [97.5-99.9]","98.8 [96.3-99.6]","100.0 [100.0-100.0]"
"Azerbaijan"," 2006"," DHS","75.9 [64.2-84.7]","87.7 [82.7-91.4]","91.1 [84.9-94.9]","98.6 [95.8-99.5]","100.0 [100.0-100.0]","77.8 [69.1-84.6]","84.4 [78.4-89.0]","89.8 [84.4-93.4]","97.3 [95.5-98.4]","99.6 [97.0-99.9]"
"Bangladesh"," 2014"," DHS","17.9 [14.6-21.8]","29.9 [25.7-34.5]","38.8 [32.1-45.9]","52.0 [47.4-56.5]","74.4 [70.5-77.9]","No data","No data","No data","No data","No data"
